起点id,终点id,序号,起点,终点,路径,长度/m
76160,76163,4,5,61,"5,6,62,6,61",1704
76163,76165,1,61,62,"61,c,62",790
76163,76165,2,61,62,"61,6,62",925
76163,76165,3,61,62,"61,b,5,6,62",1766
76163,76165,4,61,62,"61,6,5,6,62",1793
76165,76164,1,61,62,"61,c,62",790
76165,76164,2,61,62,"61,6,62",925
76165,76164,3,61,62,"61,b,5,6,62",1766
76165,76164,4,61,62,"61,6,5,6,62",1793
76164,76159,1,2,61,"2,a,b,61",1327
76164,76159,2,2,61,"2,f,e,d,61",1463
76164,76159,3,2,61,"2,a,d,61",1536
76164,76159,4,2,61,"2,f,e,c,61",1665
76167,76170,1,5,62,"5,6,62",779
76167,76170,2,5,62,"5,b,61,c,62",1777
76167,76170,3,5,62,"5,6,61,c,62",1804
76167,76170,4,5,62,"5,b,61,6,62",1912
76170,76169,1,61,62,"61,c,62",790
76170,76169,2,61,62,"61,6,62",925
76170,76169,3,61,62,"61,b,5,6,62",1766
76170,76169,4,61,62,"61,6,5,6,62",1793
76172,76176,1,1,61,"1,f,e,d,61",1833
76172,76176,2,1,61,"1,f,e,c,61",2035
76172,76176,3,1,61,"1,2,a,b,61",2053
76172,76176,4,1,61,"1,f,e,f,e,d,61",2093
76176,76177,1,61,62,"61,c,62",790
76176,76177,2,61,62,"61,6,62",925
76176,76177,3,61,62,"61,b,5,6,62",1766
76176,76177,4,61,62,"61,6,5,6,62",1793
76177,76174,1,5,62,"5,6,62",779
76177,76174,2,5,62,"5,b,61,c,62",1777
76177,76174,3,5,62,"5,6,61,c,62",1804
76177,76174,4,5,62,"5,b,61,6,62",1912
76174,76178,1,5,62,"5,6,62",779
76174,76178,2,5,62,"5,b,61,c,62",1777
76174,76178,3,5,62,"5,6,61,c,62",1804
76174,76178,4,5,62,"5,b,61,6,62",1912
2115,2117,1,2,5,"2,a,b,5",1380
2115,2117,2,2,5,"2,a,b,61,b,5",2314
2115,2117,3,2,5,"2,a,b,61,6,5",2341
2115,2117,4,2,5,"2,a,b,a,b,5",2380
2118,2116,1,2,5,"2,a,b,5",1380
2118,2116,2,2,5,"2,a,b,61,b,5",2314
2118,2116,3,2,5,"2,a,b,61,6,5",2341
2118,2116,4,2,5,"2,a,b,a,b,5",2380
2113,2126,1,1,61,"1,f,e,d,61",1833
2113,2126,2,1,61,"1,f,e,c,61",2035
2113,2126,3,1,61,"1,2,a,b,61",2053
2113,2126,4,1,61,"1,f,e,f,e,d,61",2093
2120,2114,1,1,5,"1,2,a,b,5",2106
2120,2114,2,1,5,"1,f,e,d,61,b,5",2820
2120,2114,3,1,5,"1,2,a,2,a,b,5",2826
2120,2114,4,1,5,"1,f,e,d,a,b,5",2829
2137,2135,1,61,62,"61,c,62",790
2137,2135,2,61,62,"61,6,62",925
2137,2135,3,61,62,"61,b,5,6,62",1766
2137,2135,4,61,62,"61,6,5,6,62",1793
2143,2140,1,5,62,"5,6,62",779
2143,2140,2,5,62,"5,b,61,c,62",1777
2143,2140,3,5,62,"5,6,61,c,62",1804
